epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.436,1.20297,2.16322,1.35125,0.70752,0.54333,0.6684,0.39653,1.12879,2.63512,1.41596,0.000544771,0.000544771,0.000544771
2,416.527,1.15755,1.6792,1.31386,0.39351,0.43371,0.33379,0.1408,1.7333,3.86382,2.30456,0.00107865,0.00107865,0.00107865
3,585.969,1.19052,1.52401,1.31367,0.49508,0.59251,0.51479,0.2556,1.49499,2.48695,1.84501,0.00159052,0.00159052,0.00159052
4,755.394,1.22473,1.52539,1.36158,0.7278,0.7435,0.78676,0.49654,1.24317,2.32581,1.58186,0.00156798,0.00156798,0.00156798
5,924.617,1.17893,1.39193,1.32239,0.57135,0.48128,0.51329,0.2955,1.51062,2.15054,1.80325,0.00153497,0.00153497,0.00153497
6,1092.99,1.14319,1.26991,1.28576,0.69992,0.66043,0.71768,0.4347,1.35284,1.61222,1.67389,0.00150197,0.00150197,0.00150197
7,1261.58,1.10347,1.18816,1.28121,0.86339,0.79412,0.8754,0.59258,1.08333,1.1454,1.38695,0.00146896,0.00146896,0.00146896
8,1434.04,1.09171,1.11766,1.25894,0.81996,0.72193,0.81983,0.51839,1.25057,1.26634,1.54302,0.00143595,0.00143595,0.00143595
9,1618.46,1.08192,1.09092,1.25769,0.80382,0.88741,0.87369,0.61655,0.94369,1.09204,1.27403,0.00140295,0.00140295,0.00140295
10,1798.35,0.99563,1.01365,1.20186,0.89988,0.81283,0.90478,0.63589,1.06068,1.08158,1.38325,0.00136994,0.00136994,0.00136994
11,1979.34,1.02549,0.97636,1.20243,0.89603,0.87568,0.92021,0.66985,0.98355,0.95964,1.30756,0.00133693,0.00133693,0.00133693
12,2166.45,1.0141,0.97463,1.22383,0.91823,0.8407,0.90836,0.68939,0.89975,0.88779,1.23722,0.00130393,0.00130393,0.00130393
13,2343.74,0.99058,0.96367,1.20819,0.89902,0.85693,0.92138,0.67732,0.95494,0.8254,1.26208,0.00127092,0.00127092,0.00127092
14,2520.29,0.97633,0.95352,1.19389,0.8836,0.89306,0.9323,0.68407,0.93565,0.81229,1.25195,0.00123791,0.00123791,0.00123791
15,2689.47,0.96619,0.91606,1.17705,0.90573,0.87341,0.91823,0.68307,0.91622,0.80395,1.23575,0.00120491,0.00120491,0.00120491
16,2859.39,0.94708,0.89535,1.17034,0.89474,0.91711,0.93589,0.71337,0.83106,0.73851,1.18087,0.0011719,0.0011719,0.0011719
17,3028.71,0.90592,0.86587,1.16939,0.92355,0.92781,0.94408,0.7367,0.81587,0.72341,1.16969,0.00113889,0.00113889,0.00113889
18,3199.48,0.89303,0.81893,1.14087,0.88866,0.88503,0.93203,0.71421,0.83883,0.75774,1.17912,0.00110589,0.00110589,0.00110589
19,3369.78,0.90444,0.82721,1.14655,0.91838,0.90642,0.94369,0.73258,0.8535,0.68322,1.17544,0.00107288,0.00107288,0.00107288
20,3546.76,0.88257,0.8051,1.13679,0.93945,0.91266,0.95343,0.75295,0.80794,0.6706,1.15413,0.00103987,0.00103987,0.00103987
21,3729.26,0.88936,0.77787,1.14556,0.92422,0.9385,0.95041,0.74427,0.77206,0.63632,1.13395,0.00100687,0.00100687,0.00100687
