epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,747.831,1.47541,3.19637,1.63448,0.56577,0.50968,0.51077,0.29857,1.3311,1.34908,1.60427,0.000275072,0.000275072,0.000275072
2,1458.31,1.36853,1.6827,1.48498,0.55507,0.38158,0.32705,0.18418,1.39134,2.34122,1.65274,0.000541794,0.000541794,0.000541794
3,2201.21,1.36573,1.46109,1.50128,0.38601,0.51471,0.45283,0.25857,1.37753,1.74763,1.60326,0.000797521,0.000797521,0.000797521
4,2750.6,1.34416,1.41689,1.48154,0.74791,0.50452,0.60114,0.35504,1.33766,1.31065,1.55556,0.00078352,0.00078352,0.00078352
5,3015.6,1.30211,1.27577,1.45062,0.55888,0.63595,0.628,0.36187,1.38513,1.16275,1.57889,0.000767026,0.000767026,0.000767026
6,3605.42,1.25493,1.17875,1.41572,0.69122,0.70891,0.76978,0.48376,1.22002,0.89498,1.43777,0.000750533,0.000750533,0.000750533
7,4207.92,1.22495,1.15801,1.38845,0.62849,0.71317,0.72862,0.46778,1.18607,0.84377,1.38974,0.00073404,0.00073404,0.00073404
8,4627.55,1.1959,1.08581,1.36834,0.6693,0.73486,0.78435,0.48453,1.22774,0.95465,1.42583,0.000717546,0.000717546,0.000717546
9,5133.7,1.16275,1.08237,1.36393,0.70965,0.75028,0.79372,0.53046,1.09822,0.73947,1.34825,0.000701053,0.000701053,0.000701053
10,5637.84,1.1438,1.02492,1.33974,0.71973,0.73174,0.78308,0.53957,1.06943,0.83834,1.29212,0.000684559,0.000684559,0.000684559
11,6231.36,1.10614,0.99316,1.31792,0.72673,0.84997,0.84207,0.59521,1.02719,0.67586,1.26557,0.000668066,0.000668066,0.000668066
12,6688.87,1.09001,0.94835,1.30875,0.72664,0.8607,0.82827,0.58193,1.03053,0.67391,1.24972,0.000651573,0.000651573,0.000651573
13,7280.77,1.09223,0.93328,1.30605,0.87319,0.80646,0.89802,0.62944,1.00606,0.59319,1.25673,0.000635079,0.000635079,0.000635079
14,7919.61,1.07749,0.88832,1.2889,0.84478,0.84292,0.88255,0.62456,1.03545,0.60678,1.25548,0.000618586,0.000618586,0.000618586
15,8500.15,1.04638,0.86346,1.27993,0.75391,0.83309,0.88209,0.6336,0.95051,0.58997,1.20132,0.000602092,0.000602092,0.000602092
