epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.087,1.43945,2.77495,1.54389,0.64022,0.5957,0.66338,0.41311,1.20774,2.7005,1.43746,0.000411765,0.000411765,0.000411765
2,592.04,1.29935,1.84954,1.4068,0.68113,0.59859,0.68999,0.40937,1.26576,2.35117,1.4708,0.000812028,0.000812028,0.000812028
3,884.328,1.28979,1.55246,1.39367,0.73291,0.72746,0.80096,0.46636,1.46112,2.15473,1.69655,0.00119579,0.00119579,0.00119579
4,1173.96,1.30284,1.47098,1.40532,0.69917,0.71162,0.79643,0.48675,1.22752,1.74768,1.43599,0.00117575,0.00117575,0.00117575
5,1459.99,1.24624,1.29361,1.37143,0.7919,0.85691,0.88364,0.56166,1.26331,1.2418,1.44536,0.001151,0.001151,0.001151
6,1749.32,1.23172,1.16722,1.356,0.75423,0.86712,0.92379,0.59335,1.25818,1.306,1.41859,0.00112625,0.00112625,0.00112625
7,2033.6,1.18261,1.07824,1.31217,0.83489,0.81458,0.91542,0.637,1.06616,1.13956,1.27495,0.0011015,0.0011015,0.0011015
8,2319.76,1.17176,1.03745,1.31078,0.84072,0.87891,0.91881,0.63575,1.0922,0.96949,1.33135,0.00107675,0.00107675,0.00107675
9,2607.03,1.12764,0.95975,1.28857,0.93202,0.94557,0.97356,0.67679,1.03624,0.78772,1.27729,0.001052,0.001052,0.001052
10,2894.76,1.11937,0.91978,1.27766,0.92151,0.93375,0.9736,0.68534,1.04544,0.73541,1.24289,0.00102725,0.00102725,0.00102725
11,3181.45,1.11321,0.90137,1.26367,0.95011,0.94293,0.97369,0.70283,1.04045,0.69588,1.24216,0.0010025,0.0010025,0.0010025
12,3469.76,1.08843,0.88345,1.25398,0.95991,0.96292,0.98372,0.72015,0.97302,0.6418,1.18874,0.00097775,0.00097775,0.00097775
13,3764.77,1.08112,0.85122,1.24964,0.93994,0.94591,0.98016,0.7122,1.08155,0.67969,1.31223,0.000953,0.000953,0.000953
14,4063.49,1.06933,0.84387,1.23681,0.95746,0.97243,0.98591,0.73637,1.00573,0.60111,1.19819,0.00092825,0.00092825,0.00092825
15,4356.31,1.08131,0.83282,1.25205,0.9682,0.98421,0.98604,0.72693,1.06183,0.5784,1.24229,0.0009035,0.0009035,0.0009035
16,4654.06,1.04871,0.80332,1.22062,0.96096,0.97762,0.9848,0.73962,1.01001,0.57425,1.18368,0.00087875,0.00087875,0.00087875
17,4948.38,1.0415,0.77208,1.22266,0.95795,0.98332,0.9873,0.74132,0.98781,0.55866,1.18424,0.000854,0.000854,0.000854
18,5251.52,1.03183,0.77343,1.22638,0.95743,0.95281,0.98466,0.73878,1.01061,0.55201,1.18869,0.00082925,0.00082925,0.00082925
19,5552.13,1.00193,0.75782,1.21424,0.96779,0.98003,0.98834,0.725,1.02818,0.57522,1.23537,0.0008045,0.0008045,0.0008045
20,5853.45,1.01663,0.73471,1.20969,0.96583,0.99164,0.98805,0.74304,0.96931,0.52595,1.18721,0.00077975,0.00077975,0.00077975
