epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.764,1.48778,2.64417,1.59231,0.62698,0.57533,0.60894,0.34163,1.53487,1.75013,1.74008,0.000411765,0.000411765,0.000411765
2,688.391,1.40954,1.39232,1.49378,0.74687,0.29352,0.40128,0.21547,1.6384,2.45311,1.9825,0.000812028,0.000812028,0.000812028
3,1169.89,1.43081,1.35751,1.54478,0.34949,0.27815,0.25451,0.12975,1.77934,3.4227,2.15335,0.00119579,0.00119579,0.00119579
4,1638.61,1.36685,1.21065,1.47232,0.63024,0.70882,0.74738,0.42556,1.44788,1.601,1.71547,0.00117575,0.00117575,0.00117575
5,1904.82,1.32495,1.15071,1.45018,0.70671,0.65865,0.73312,0.44609,1.31519,1.4319,1.56333,0.001151,0.001151,0.001151
6,2158.75,1.25544,1.0306,1.38838,0.90376,0.93182,0.95927,0.64824,1.15048,0.82488,1.3686,0.00112625,0.00112625,0.00112625
7,2576.66,1.25238,1.00316,1.39418,0.84584,0.87296,0.93074,0.58598,1.34536,0.81083,1.51426,0.0011015,0.0011015,0.0011015
8,3074.15,1.23205,0.96609,1.37652,0.82931,0.80892,0.87946,0.58485,1.23057,0.95082,1.39374,0.00107675,0.00107675,0.00107675
9,3473.74,1.17309,0.93357,1.34009,0.84795,0.84652,0.89595,0.604,1.12114,0.83931,1.32588,0.001052,0.001052,0.001052
10,3885.9,1.19392,0.91505,1.34504,0.89421,0.93153,0.96232,0.66613,1.15771,0.70976,1.36162,0.00102725,0.00102725,0.00102725
11,4293.24,1.14421,0.89947,1.32067,0.94831,0.97783,0.98289,0.70397,1.03773,0.59291,1.25644,0.0010025,0.0010025,0.0010025
12,4720.81,1.14198,0.83792,1.30718,0.9363,0.97177,0.98378,0.71107,1.00247,0.56991,1.22076,0.00097775,0.00097775,0.00097775
13,5073.97,1.09212,0.82291,1.28347,0.94996,0.98331,0.9882,0.73384,0.97491,0.55378,1.21262,0.000953,0.000953,0.000953
14,5490.5,1.10777,0.80802,1.29376,0.95709,0.97239,0.98069,0.71331,0.99787,0.52664,1.21116,0.00092825,0.00092825,0.00092825
15,5855.43,1.07943,0.77324,1.28018,0.94776,0.97632,0.98317,0.71369,1.05948,0.55838,1.30309,0.0009035,0.0009035,0.0009035
16,6253.95,1.07957,0.76868,1.26246,0.96607,0.98129,0.98747,0.73288,0.99983,0.54423,1.20904,0.00087875,0.00087875,0.00087875
17,6613.05,1.04248,0.73656,1.24524,0.96658,0.96247,0.98361,0.73932,0.95311,0.51506,1.203,0.000854,0.000854,0.000854
18,6920.42,1.04406,0.72713,1.2517,0.94416,0.98389,0.98643,0.73897,0.99128,0.50236,1.20509,0.00082925,0.00082925,0.00082925
19,7273.63,1.02906,0.71138,1.24671,0.95226,0.95269,0.98297,0.74503,1.00388,0.53108,1.21882,0.0008045,0.0008045,0.0008045
20,7733.31,1.03924,0.73235,1.24245,0.96812,0.98067,0.98746,0.74411,0.99241,0.48401,1.2308,0.00077975,0.00077975,0.00077975
21,7982.54,1.02895,0.70392,1.24157,0.97819,0.98251,0.98844,0.73288,0.9994,0.49315,1.22643,0.000755,0.000755,0.000755
22,8257.33,1.01402,0.68717,1.22728,0.97442,0.98801,0.98892,0.75378,0.9583,0.46025,1.19344,0.00073025,0.00073025,0.00073025
23,8562.81,0.99877,0.66765,1.21375,0.96852,0.9842,0.98985,0.76384,0.90681,0.44963,1.15954,0.0007055,0.0007055,0.0007055
24,8897.16,1.0043,0.67984,1.22028,0.96626,0.98822,0.98738,0.75318,0.95088,0.45814,1.1801,0.00068075,0.00068075,0.00068075
25,9313.36,0.98799,0.63804,1.20585,0.97201,0.98486,0.99063,0.76628,0.91441,0.43728,1.15142,0.000656,0.000656,0.000656
26,9537.71,0.94782,0.61379,1.18748,0.97621,0.97967,0.99024,0.76108,0.95494,0.45439,1.20188,0.00063125,0.00063125,0.00063125
27,9811.17,0.96994,0.63619,1.20138,0.97485,0.98937,0.98946,0.76996,0.93065,0.43256,1.1482,0.0006065,0.0006065,0.0006065
28,10123.3,0.95744,0.62845,1.18718,0.97239,0.98574,0.99112,0.77127,0.91891,0.43866,1.14834,0.00058175,0.00058175,0.00058175
